,A,B,C,D,E,F
2030-01-01 00:00:00,1411.69273105419,3232.56774999995,0.0,99530.3578285884,0.0,184537.08026754
2030-01-01 02:00:00,0.0,2211.42339999993,0.0,83853.80535,1.19049053399497e-10,184925.45673592
2030-01-01 04:00:00,0.0,0.0,0.0,84137.1858,0.0,185059.506524364
2030-01-01 06:00:00,0.0,0.0,0.0,77029.45955,0.0,182790.230656507
2030-01-01 08:00:00,0.0,0.0,0.0,70297.31345,0.0,184443.234148324
2030-01-01 10:00:00,0.0,0.0,0.0,59398.5868,2.37882973390064e-10,181912.439913389
2030-01-01 12:00:00,0.0,0.0,0.0,66822.9755,2.3844993934071e-10,186417.107630214
2030-01-01 14:00:00,0.0,0.0,0.0,32847.7012,2.3933253016367e-10,181133.248940853
2030-01-01 16:00:00,0.0,0.0,0.0,26432.3235,2.3933253016367e-10,190482.645493004
2030-01-01 18:00:00,0.0,0.0,0.0,35835.58765,0.0,190649.984913527
2030-01-01 20:00:00,0.0,0.0,0.0,36497.40245,2.3933253016367e-10,187725.857666923
2030-01-01 22:00:00,0.0,0.0,0.0,35507.58855,0.0,172778.421699898
2030-01-02 00:00:00,0.0,0.0,0.0,32714.8062,2.37689700956563e-10,173571.461829453
2030-01-02 02:00:00,0.0,0.0,0.0,25727.3644,1.18145280631139e-10,170979.789592313
2030-01-02 04:00:00,0.0,0.0,0.0,28951.20495,1.18370779460648e-10,158834.870210629
2030-01-02 06:00:00,0.0,0.0,0.0,35051.378,1.17162284244185e-10,137157.300291421
2030-01-02 08:00:00,0.0,0.0,0.0,57811.77655,2.31767049871731e-10,112572.897005542
2030-01-02 10:00:00,0.0,0.0,0.0,64223.5568,1.14121653523064e-10,98605.5115735778
2030-01-02 12:00:00,0.0,0.0,0.0,68688.8662,1.12086347622624e-10,98655.2825505167
2030-01-02 14:00:00,0.0,0.0,0.0,53243.274,2.3933253016367e-10,145540.88654386
2030-01-02 16:00:00,0.0,0.0,0.0,71385.044242047,104943.165456664,184286.054593112
2030-01-02 18:00:00,0.0,0.0,0.0,132649.620774297,694147.063576481,249298.462345585
2030-01-02 20:00:00,0.0,0.0,0.0,26949.824,2.3933253016367e-10,164497.031188412
2030-01-02 22:00:00,0.0,0.0,0.0,43101.9326,1.18862979613721e-10,157515.254411184
2030-01-03 00:00:00,0.0,0.0,0.0,46120.22145,1.18950338454946e-10,154928.360351963
2030-01-03 02:00:00,0.0,0.0,0.0,35250.43535,1.18567622865181e-10,145676.784376595
2030-01-03 04:00:00,0.0,0.0,0.0,31391.7129500001,0.0,131179.899040759
2030-01-03 06:00:00,0.0,0.0,0.0,132649.620774297,694147.063576525,249298.462345585
2030-01-03 08:00:00,0.0,0.0,0.0,29388.13875,1.16795171424518e-10,101383.212874711
2030-01-03 10:00:00,0.0,0.0,0.0,45296.0972,2.32169062196412e-10,84177.390650149
2030-01-03 12:00:00,0.0,0.0,0.0,71665.30665,2.29814505185879e-10,72205.255712821
2030-01-03 14:00:00,0.0,0.0,0.0,44355.82035,2.3933253016367e-10,112162.53250982
2030-01-03 16:00:00,0.0,0.0,0.0,132649.620774297,694147.063576525,249298.462345585
2030-01-03 18:00:00,0.0,0.0,0.0,132649.620774297,694147.063576525,249298.462345585
2030-01-03 20:00:00,0.0,0.0,0.0,69506.64865,2.3933253016367e-10,123829.316972563
2030-01-03 22:00:00,0.0,0.0,0.0,82198.7239,1.15665387594576e-10,117552.445611671
2030-01-04 00:00:00,0.0,5689.23864999986,0.0,84769.084,2.3389377515017e-10,161324.195812379
2030-01-04 02:00:00,0.0,0.0,0.0,84579.7524,1.18859533344083e-10,178996.812122547
2030-01-04 04:00:00,0.0,0.0,0.0,132649.620774297,694147.063576525,249298.462345585
2030-01-04 06:00:00,5288.32572314145,0.0,0.0,132649.620774297,694147.063576525,249298.462345585
2030-01-04 08:00:00,5312.1779639019,0.0,0.0,81043.4971,0.0,184580.890038326
2030-01-04 10:00:00,2972.90386794706,4828.71274999992,0.0,83914.5843,1.18937768481225e-10,184460.136033537
2030-01-04 12:00:00,4652.38468334711,8591.8864,0.0,84603.7274,3.57796518452727e-10,186559.026037869
2030-01-04 14:00:00,4758.01477716106,9736.09895000003,0.0,84816.0138,3.58998795245504e-10,198014.023789787
2030-01-04 16:00:00,5226.10106681533,9127.27145000001,0.0,132649.620774297,694147.063576525,249298.462345585
2030-01-04 18:00:00,5423.90842998256,10064.5264499998,0.0,132649.620774297,694147.063576525,257482.96764067232
2030-01-04 20:00:00,586.326969912787,7499.72134999968,0.0,98677.7121296824,609032.274270009,249298.462345585
2030-01-04 22:00:00,0.0,6896.09494999988,0.0,83476.7979,0.0,180395.070533022
