,75787.19276852
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,6.56252075840434e-05
14,0.08174517236545094
15,0.16438919578916059
16,0.2663508357638054
17,0.30793637906105276
18,0.354605593348772
19,0.4080133174361479
20,0.4944152831029999
21,0.18136421004753414
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,1.2241941997648496e-05
38,0.10038799103148212
39,0.11070150640546271
40,0.1298038863548325
41,0.16270522233375295
42,0.17459446823035163
43,0.16481010333834045
44,0.11422145654410454
45,0.07700465797119568
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.000556463236842916
62,0.14188689832689946
63,0.24117231067866732
64,0.2055436884332464
65,0.21628012947259334
66,0.16827150296545149
67,0.12055102503449858
68,0.1303976436032966
69,0.024706937650747194
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0001827600747410051
86,0.07323288074007868
87,0.14253538903273957
88,0.16656314532915617
89,0.18419534457048983
90,0.14403451251196997
91,0.1115448294741136
92,0.14535694665931795
93,0.04844143156622349
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,6.539772493185876e-05
110,0.16758436881575958
111,0.28653040928019724
112,0.24733101236595598
113,0.2719716659189865
114,0.23256424658211883
115,0.20283818759474515
116,0.1589087172568098
117,0.11273020539882761
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.001956729104971327
134,0.2378328013621102
135,0.16935987848511133
136,0.08720360585413751
137,0.12450218659801336
138,0.0995495403632788
139,0.07756730800725015
140,0.05373579531484927
141,0.014348489053099099
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0024925316898119355
158,0.03677389744782328
159,0.08950785052254588
160,0.1180652405532341
161,0.15758111779046877
162,0.19146287396522244
163,0.1815806458384653
164,0.3159276096336333
165,0.21124270480804633
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.002633380507559134
182,0.25527694699075343
183,0.4271145001045184
184,0.3757429276047552
185,0.3658139450943901
186,0.35300739670156783
187,0.3874676292037228
188,0.352761734495002
189,0.10253439028336786
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0009695586777829057
206,0.1460408464653095
207,0.10450027228141345
208,0.09417162878788059
209,0.16339206335691503
210,0.16898043246187833
211,0.4368758827753089
212,0.47206141552996633
213,0.189441143673591
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.007190067591702528
230,0.3667595059692932
231,0.4920774737786903
232,0.3764313266161834
233,0.36529272128683776
234,0.31538965424682175
235,0.3187008015243998
236,0.310808434775939
237,0.10628776206218217
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,2.271979995182743e-05
254,0.05897475617132543
255,0.07622196737021389
256,0.10646451503061932
257,0.11673678973831723
258,0.14268636229543885
259,0.10274138993346557
260,0.07756209382732526
261,0.03283774160213602
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.006126063813866459
278,0.23772189633706697
279,0.3955344969294674
280,0.3398141485350693
281,0.3558627899620459
282,0.38848492141299884
283,0.36321502237667047
284,0.26539178095298643
285,0.10713210193609489
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0017698102784696038
302,0.0684718272293832
303,0.164149652240762
304,0.16722470254126964
305,0.1269043269486309
306,0.1203069903801829
307,0.15195939869247996
308,0.13713085087838525
309,0.06681629612269942
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0011951234381458284
326,0.06263133673310234
327,0.14682710299857737
328,0.15694357550625648
329,0.16066417017524146
330,0.14121131090755681
331,0.1294556368470138
332,0.07653673247786949
333,0.03338315999141648
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.004303657993691134
350,0.06457665694459012
351,0.17309662821594682
352,0.14708247250786394
353,0.19380092732879142
354,0.18927474599730013
355,0.16704499849799254
356,0.13684123108400523
357,0.09673114161911489
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0158668998346558
375,0.04172703182314062
376,0.07119649587395085
377,0.12474673081252886
378,0.14953522772937097
379,0.20621051338600827
380,0.23649351929692913
381,0.18673328883622342
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.016732958407459936
398,0.044368397241732686
399,0.17199775984152813
400,0.20083720356620952
401,0.2695465142299827
402,0.3014905522579514
403,0.31360708329855713
404,0.25013869131010336
405,0.1110563867741133
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.04187721496432137
422,0.27266198594145996
423,0.4055670170754276
424,0.36541475430112325
425,0.34829817185325296
426,0.3466860129711461
427,0.32757033207405284
428,0.3865892414021119
429,0.23751266737011487
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
