,,A,B,C,D,E,F
Grid,2030-01-01 00:00:00,0.0,0.0,0.0,33119.2629457083,694147.063576525,64761.3820780447
Grid,2030-01-01 02:00:00,0.0,0.0,0.0,48795.8154242969,694147.063576525,64373.0056096645
Grid,2030-01-01 04:00:00,0.0,0.0,0.0,48512.4349742969,694147.063576525,64238.9558212211
Grid,2030-01-01 06:00:00,0.0,0.0,0.0,55620.1612242969,694147.063576525,66508.2316890779
Grid,2030-01-01 08:00:00,0.0,0.0,0.0,62352.3073242968,694147.063576525,64855.2281972606
Grid,2030-01-01 10:00:00,0.0,0.0,0.0,73251.0339742968,694147.063576525,67386.0224321964
Grid,2030-01-01 12:00:00,0.0,0.0,0.0,65826.6452742968,694147.063576525,62881.354715371
Grid,2030-01-01 14:00:00,0.0,0.0,0.0,99801.9195742969,694147.063576525,68165.2134047317
Grid,2030-01-01 16:00:00,0.0,0.0,0.0,106217.297274297,694147.063576525,58815.8168525811
Grid,2030-01-01 18:00:00,0.0,0.0,0.0,96814.0331242968,694147.063576525,58648.4774320579
Grid,2030-01-01 20:00:00,0.0,0.0,0.0,96152.2183242969,694147.063576525,61572.6046786616
Grid,2030-01-01 22:00:00,0.0,0.0,0.0,97142.0322242969,694147.063576525,76520.0406456868
Grid,2030-01-02 00:00:00,0.0,0.0,0.0,99934.8145742969,694147.063576525,75727.000516132
Grid,2030-01-02 02:00:00,0.0,0.0,0.0,106922.256374297,694147.063576525,78318.6727532719
Grid,2030-01-02 04:00:00,0.0,0.0,0.0,103698.415824297,694147.063576526,90463.592134956
Grid,2030-01-02 06:00:00,0.0,0.0,0.0,97598.2427742968,694147.063576526,112141.162054164
Grid,2030-01-02 08:00:00,0.0,0.0,0.0,74837.8442242968,694147.063576525,136725.565340043
Grid,2030-01-02 10:00:00,0.0,0.0,0.0,68426.0639742969,694147.063576525,150692.950772007
Grid,2030-01-02 12:00:00,0.0,0.0,0.0,63960.7545742969,694147.063576526,150643.179795068
Grid,2030-01-02 14:00:00,0.0,0.0,0.0,79406.3467742968,694147.063576525,103757.575801724
Grid,2030-01-02 16:00:00,0.0,0.0,0.0,61264.5765322499,589203.898119861,65012.4077524717
Grid,2030-01-02 18:00:00,0.0,0.0,0.0,-2.39704645109876e-10,0.0,0.0
Grid,2030-01-02 20:00:00,0.0,0.0,0.0,105699.796774297,694147.063576525,84801.4311571726
Grid,2030-01-02 22:00:00,0.0,0.0,0.0,89547.6881742968,694147.063576525,91783.2079344008
Grid,2030-01-03 00:00:00,0.0,0.0,0.0,86529.3993242969,694147.063576526,94370.1019936217
Grid,2030-01-03 02:00:00,0.0,0.0,0.0,97399.1854242969,694147.063576525,103621.67796899
Grid,2030-01-03 04:00:00,0.0,0.0,0.0,101257.907824297,694147.063576526,118118.563304826
Grid,2030-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
Grid,2030-01-03 08:00:00,0.0,0.0,0.0,103261.482024297,694147.063576526,147915.249470874
Grid,2030-01-03 10:00:00,0.0,0.0,0.0,87353.5235742969,694147.063576525,165121.071695436
Grid,2030-01-03 12:00:00,0.0,0.0,0.0,60984.3141242968,694147.063576525,177093.206632764
Grid,2030-01-03 14:00:00,0.0,0.0,0.0,88293.8004242968,694147.063576525,137135.929835765
Grid,2030-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0
Grid,2030-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
Grid,2030-01-03 20:00:00,0.0,0.0,0.0,63142.9721242969,694147.063576525,125469.145373022
Grid,2030-01-03 22:00:00,0.0,0.0,0.0,50450.8968742969,694147.063576525,131746.016733914
Grid,2030-01-04 00:00:00,0.0,0.0,0.0,47880.5367742969,694147.063576525,87974.2665332061
Grid,2030-01-04 02:00:00,0.0,0.0,0.0,48069.8683742968,694147.063576525,70301.6502230378
Grid,2030-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
Grid,2030-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
Grid,2030-01-04 08:00:00,0.0,0.0,0.0,51606.1236742969,694147.063576525,64717.5723072584
Grid,2030-01-04 10:00:00,0.0,0.0,0.0,48735.0364742969,694147.063576525,64838.3263120478
Grid,2030-01-04 12:00:00,0.0,0.0,0.0,48045.8933742969,694147.063576525,62739.436307716
Grid,2030-01-04 14:00:00,0.0,0.0,0.0,47833.6069742969,694147.063576525,51284.4385557976
Grid,2030-01-04 16:00:00,0.0,0.0,0.0,0.0,1.19666265081835e-10,2.98783686861809e-11
Grid,2030-01-04 18:00:00,0.0,0.0,0.0,0.0,1.19666265081835e-10,2.98783686861809e-11
Grid,2030-01-04 20:00:00,0.0,0.0,0.0,33971.9086446146,85114.7893065063,2.98783686861809e-11
