,A,B,C,D,E,F
2030-01-01 00:00:00,7141.49681947122,20607.5252785082,0.0,2332.60319666667,13275.583334,4855.32516796149
2030-01-01 02:00:00,7141.49681947122,20607.5252785082,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-01 04:00:00,7137.09420644299,20588.044665551,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-01 06:00:00,6820.89850285038,20520.7355754243,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-01 08:00:00,6856.78378408477,20563.2912349988,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-01 10:00:00,5257.39271322885,20564.6908945733,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-01 12:00:00,4970.83956501338,20362.8424939039,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-01 14:00:00,5069.4460634239,20005.6889572077,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-01 16:00:00,3223.41142035014,19971.1122189816,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-01 18:00:00,3497.37784828468,20030.2976590963,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-01 20:00:00,3810.87191061503,19992.2827693043,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-01 22:00:00,2542.99109397894,19914.7563901506,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-02 00:00:00,2114.34075751565,19642.8882390629,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-02 02:00:00,3106.81437275799,19497.2913248864,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-02 04:00:00,5332.17319637094,19507.4078374372,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-02 06:00:00,5628.43093049182,19649.3485967009,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-02 08:00:00,4927.76990937771,19753.6768960077,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-02 10:00:00,5809.12619059695,19943.6291006455,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-02 12:00:00,5471.94781340229,20121.0922199378,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-02 14:00:00,3464.88862779504,19989.1885947884,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-02 16:00:00,3411.79241457355,20154.899676787,0.0,2332.79726,11268.5421586395,4565.4267125
2030-01-02 18:00:00,2660.63349477988,19955.0179956969,0.0,834.367115467363,0.0,3538.36527089724
2030-01-02 20:00:00,2288.96580285477,19763.5839760937,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-02 22:00:00,2260.47279421407,20098.9577403777,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-03 00:00:00,1502.97649813232,20109.7086339947,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-03 02:00:00,646.809358601071,19989.4541142721,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-03 04:00:00,236.863454939976,19944.256323213,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-03 06:00:00,49.5575318601069,19794.3677418121,0.0,604.259055223524,0.0,2309.87831137703
2030-01-03 08:00:00,59.3744658550362,19709.1559454937,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-03 10:00:00,229.174134457711,19829.9023533349,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-03 12:00:00,539.252943039274,19901.4497518527,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-03 14:00:00,278.270533033921,19580.6504986852,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-03 16:00:00,216.587500446718,19677.9382347597,0.0,914.498914654554,0.0,2377.67048719533
2030-01-03 18:00:00,335.18392747173,20061.1268333732,0.0,1201.346239541,0.0,2828.94252399764
2030-01-03 20:00:00,411.004078223822,20334.8848883576,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-03 22:00:00,823.790057618454,20498.4921778628,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-04 00:00:00,1873.35317297,20607.5252785082,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-04 02:00:00,3597.43511924939,20588.8458608654,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-04 04:00:00,6705.7630731743,20387.6739727468,0.0,1519.56914176428,0.0,3596.3519538283
2030-01-04 06:00:00,7141.49681947122,20343.3256380588,0.0,1558.18068945733,0.0,3622.53581567997
2030-01-04 08:00:00,7141.49681947122,20546.9969964141,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-04 10:00:00,7141.49681947122,20607.5252785083,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-04 12:00:00,7141.49681947122,20607.5252785082,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-04 14:00:00,7141.49681947122,20607.5252785082,0.0,2623.92930383546,13275.583334,4855.32516796149
2030-01-04 16:00:00,7141.49681947122,20607.5252785082,0.0,1708.86777814965,2.28862089566024e-12,4439.30895551982
