,A,B,C,D,E,F
2030-01-01 00:00:00,0.0,14463.081508333331,0.0,2474.837117774531,20239.380228892136,4565.351826666667
2030-01-01 02:00:00,0.0,14463.081508333331,0.0,2474.837117774531,20381.61415,5096.395998917936
2030-01-01 04:00:00,0.0,14463.081508333331,0.0,2474.837117774531,20381.61415,5096.395998917936
2030-01-01 06:00:00,0.0,14463.081508333331,0.0,2474.8371177745307,20381.61415,5096.395998917936
2030-01-01 08:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-01 10:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-01 12:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-01 14:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.933115354917,5096.395998917936
2030-01-01 16:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917935
2030-01-01 18:00:00,0.0,14463.081508333331,0.0,2332.6031966666665,5832.583794772076,2480.635934530582
2030-01-01 20:00:00,0.0,14463.081508333331,0.0,2474.8371177745307,5164.995182040983,5096.395998917935
2030-01-01 22:00:00,0.0,14463.081508333331,0.0,2474.837117774531,0.0,5096.395998917936
2030-01-02 00:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-02 02:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-02 04:00:00,0.0,14463.081508333331,0.0,2474.837117774531,20372.152741666665,5096.395998917936
2030-01-02 06:00:00,0.0,14463.081508333331,0.0,2474.837117774531,14524.480512217953,5096.395998917936
2030-01-02 08:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-02 10:00:00,0.0,14463.081508333331,0.0,2474.8371177745307,30964.93311535492,5096.395998917936
2030-01-02 12:00:00,0.0,14463.081508333331,0.0,2474.8371177745307,30964.93311535492,5096.395998917935
2030-01-02 14:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-02 16:00:00,0.0,14463.081508333331,0.0,2474.837117774531,20180.112883892136,4565.4267125
2030-01-02 18:00:00,0.0,14463.081508333331,0.0,1077.5526004995845,12526.048018708441,1369.4445438802113
2030-01-02 20:00:00,0.0,14463.081508333331,0.0,1721.4769309022918,4337.523569782361,5096.395998917935
2030-01-02 22:00:00,0.0,14463.081508333331,0.0,2474.837117774531,0.0,5096.395998917936
2030-01-03 00:00:00,0.0,14463.081508333331,0.0,2474.837117774531,13838.096634365995,5096.395998917936
2030-01-03 02:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-03 04:00:00,0.0,14463.081508333331,0.0,2474.837117774531,20360.40319166667,5096.395998917936
2030-01-03 06:00:00,0.0,14463.081508333331,0.0,468.87325570944165,0.0,0.0
2030-01-03 08:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-03 10:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-03 12:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-03 14:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-03 16:00:00,0.0,14463.081508333331,0.0,1244.1806166086312,16574.113247725923,2867.223477337507
2030-01-03 18:00:00,0.0,14463.081508333331,0.0,1298.2064564259852,20148.994087666375,2626.398929048395
2030-01-03 20:00:00,0.0,14463.081508333331,0.0,1295.5524749119766,9704.88786566092,1338.3035066799978
2030-01-03 22:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-04 00:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
2030-01-04 02:00:00,0.0,14463.081508333331,0.0,2474.837117774531,30964.93311535492,5096.395998917936
