Project,Scenario,Dollar_year,Weather_year,Start_day,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,usa,ET,2030
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Load,Load,Load,Load,Load,Load,Load,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2030-01-01 00:00:00,423419.6,0.0,0.0,6561.9,429981.5,409586.5,323925.9,0.0327,0.044,0.73,0.72,155.0,11.2,1.57,12.9,553.5,0.11,155.8,29.5,185.2,171.9,12.4,1.73,14.4,615.9,0.13,172.8,32.8,205.6,230.4,8.4,1.07,23.6,1074.3,0.1,231.0,55.6,286.6,461.1,28.1,3.86,37.0,1794.9,0.22,462.9,90.5,553.5,24.24,3.52,0.27,28.02,25.37,3.7,0.28,29.35,429981.4,106055.6,62050.8,3759.9,0.0,10672.6,35264.7,0.0,0.0,0.0,79807.8,0.0,0.0,3683.8,33379.4,86292.6,0.0,9014.3,0.0,0.0,97675.6,8380.0
2030-01-01 01:00:00,403921.6,7224.4,186.1,7504.5,418836.7,390926.4,248007.9,0.0322,0.0419,0.77,0.76,128.0,8.6,1.19,11.6,479.3,0.1,128.5,25.9,154.4,136.1,9.2,1.27,12.2,508.0,0.11,136.7,27.4,164.1,210.2,6.6,0.8,22.6,1016.4,0.1,210.7,52.9,263.6,286.9,10.4,1.31,29.4,1341.4,0.13,287.5,69.4,357.0,19.22,0.0,0.26,19.48,20.45,0.0,0.28,20.73,418836.7,170828.8,22826.3,3491.8,0.0,8663.4,25436.8,0.0,0.0,0.0,72117.7,0.0,0.0,3683.8,29332.0,79658.4,0.0,2797.8,0.0,0.0,163517.4,7311.4
2030-01-01 02:00:00,392346.6,7627.4,1115.1,7718.8,408807.9,379834.9,230771.6,0.0319,0.0407,0.78,0.78,116.9,7.4,1.02,11.2,451.4,0.1,117.4,24.6,142.1,123.6,7.9,1.09,11.7,474.9,0.1,124.2,25.9,150.1,224.4,8.1,1.02,23.1,1049.8,0.1,224.9,54.4,279.3,306.2,7.1,0.78,35.0,1559.7,0.14,306.6,81.5,388.2,18.25,0.0,0.26,18.5,19.44,0.0,0.27,19.72,408807.9,178036.3,15602.4,3490.1,0.0,8628.4,21089.9,0.0,0.0,0.0,69249.6,0.0,0.0,3683.8,27248.8,79658.4,0.0,2120.2,0.0,0.0,172142.3,5894.0
2030-01-01 03:00:00,384748.9,6602.6,1055.8,7752.0,400159.3,372546.5,225709.2,0.0317,0.0399,0.77,0.77,121.1,7.7,1.07,11.5,465.1,0.1,121.6,25.3,147.0,126.3,8.1,1.13,11.9,482.8,0.1,126.8,26.3,153.1,222.0,7.5,0.93,23.3,1054.0,0.1,222.4,54.7,277.1,251.8,6.1,0.69,28.5,1272.4,0.11,252.2,66.4,318.6,18.38,0.0,0.25,18.63,19.54,0.0,0.27,19.81,400159.3,174450.1,11920.4,3490.1,0.0,8845.8,21655.0,0.0,0.0,0.0,69352.3,0.0,0.0,3683.8,26510.2,79658.4,0.0,593.2,0.0,0.0,169332.6,5117.5
2030-01-01 04:00:00,381202.8,6662.9,692.5,7798.6,396356.8,369138.8,223847.6,0.0316,0.0395,0.77,0.77,123.3,8.0,1.11,11.6,470.1,0.1,123.9,25.6,149.5,128.5,8.4,1.16,12.0,488.3,0.1,129.1,26.6,155.6,231.3,7.7,0.96,24.3,1101.0,0.1,231.8,57.1,288.9,263.0,9.8,1.25,26.7,1220.7,0.12,263.7,63.1,326.8,18.35,0.0,0.24,18.6,19.49,0.0,0.26,19.75,396356.8,172509.2,10093.0,3490.1,0.0,8200.8,22268.2,0.0,0.0,0.0,68772.1,0.0,0.0,3683.8,25764.7,79658.4,0.0,1916.5,0.0,0.0,168401.1,4108.1
2030-01-01 05:00:00,383073.4,7334.0,322.2,7646.9,398376.4,370936.1,228861.5,0.0317,0.0397,0.77,0.77,124.0,8.1,1.12,11.6,471.7,0.1,124.6,25.7,150.2,130.3,8.5,1.18,12.1,494.7,0.1,130.9,26.9,157.8,228.2,7.4,0.91,24.2,1094.2,0.1,228.7,56.8,285.5,464.2,32.5,4.55,33.3,1673.9,0.22,466.4,83.2,549.6,18.84,0.0,0.24,19.08,20.01,0.0,0.26,20.27,398376.4,169514.9,15575.6,3490.1,0.0,8095.3,22613.5,0.0,0.0,0.0,69161.8,0.0,0.0,3683.8,25375.7,79658.4,0.0,1207.5,0.0,0.0,166334.6,3180.3
2030-01-01 06:00:00,390388.2,6231.0,213.0,7539.9,404372.1,377958.3,234794.2,0.0318,0.0405,0.77,0.76,124.1,8.1,1.13,11.5,470.0,0.1,124.7,25.5,150.2,132.8,8.7,1.21,12.3,502.0,0.11,133.4,27.2,160.6,224.6,7.3,0.9,23.8,1075.8,0.1,225.0,55.9,280.9,349.6,15.2,1.98,33.5,1556.9,0.16,350.6,80.0,430.6,18.91,0.0,0.16,19.07,20.04,0.0,0.17,20.21,404372.1,169577.9,20958.0,3490.1,0.0,8966.8,23221.0,0.0,0.0,310.1,69534.5,0.0,0.0,3683.8,23937.2,79658.4,0.0,1344.3,0.0,9.6,166720.4,2537.8
2030-01-01 07:00:00,400568.2,5295.7,364.1,6434.0,412662.0,387736.3,212700.3,0.032,0.0415,0.79,0.79,116.8,8.0,1.12,10.6,431.1,0.1,117.4,23.4,140.8,120.0,8.3,1.16,10.8,441.0,0.1,120.5,24.0,144.5,199.4,6.4,0.78,21.2,957.9,0.09,199.8,49.8,249.6,306.9,8.6,1.01,33.8,1516.9,0.14,307.4,79.0,386.5,17.99,0.0,0.16,18.15,19.05,0.0,0.17,19.22,412662.0,199961.8,8507.7,3490.1,0.0,6676.3,23824.3,0.0,0.0,7838.6,62658.7,0.0,0.0,3683.8,24186.9,79658.4,0.0,14.1,0.0,22926.7,166826.8,2369.6
