Project,Scenario,Dollar_year,Weather_year,Start_day,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,usa,ET,2050
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Load,Load,Load,Load,Load,Load,Load,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2050-01-01 00:00:00,537213.0,5568.5,0.0,7814.2,550595.6,519985.4,374236.4,0.0321,0.0421,0.86,0.87,66.1,3.4,0.46,7.1,279.9,0.06,66.3,15.4,81.8,67.3,3.5,0.47,7.0,284.6,0.05,67.5,15.5,83.0,195.3,8.7,1.14,19.4,865.0,0.11,195.8,45.2,241.0,428.0,19.0,2.5,40.6,1891.5,0.19,429.3,97.1,526.3,19.61,0.0,0.16,19.78,20.71,0.0,0.17,20.88,550595.6,176359.1,157210.2,2620.2,0.0,10140.7,11847.0,0.0,0.0,0.0,65145.4,0.0,29.2,2502.1,46597.9,65782.3,0.0,12361.6,0.0,0.0,163359.3,12999.8
2050-01-01 01:00:00,507693.6,19873.7,4.1,8640.3,536211.7,491669.3,265965.6,0.0316,0.0398,0.87,0.89,61.1,3.0,0.41,6.7,262.8,0.05,61.3,14.6,75.9,52.5,2.7,0.36,5.7,222.7,0.04,52.7,12.3,65.0,187.0,8.0,1.04,18.7,838.6,0.1,187.6,43.7,231.3,286.4,5.5,0.55,33.8,1496.0,0.12,286.7,78.4,365.1,15.44,0.0,0.16,15.6,16.73,0.0,0.17,16.91,536211.7,270246.1,70101.4,2277.8,0.0,8630.4,9995.9,0.0,0.0,0.0,60455.2,0.0,29.2,2502.1,41395.9,63267.8,0.0,7309.9,0.0,0.0,258207.0,12039.1
2050-01-01 02:00:00,489402.4,20658.8,888.2,8425.2,519374.7,474091.0,247195.8,0.0313,0.0384,0.87,0.9,55.2,2.3,0.3,6.6,251.5,0.05,55.4,14.1,69.5,46.4,2.0,0.26,5.5,210.3,0.04,46.6,11.8,58.4,183.7,7.9,1.03,18.4,822.2,0.1,184.2,42.9,227.1,307.5,12.1,1.55,30.6,1409.3,0.14,308.2,72.7,380.9,14.76,0.0,0.16,14.92,15.97,0.0,0.17,16.14,519374.7,272179.0,60026.1,2264.0,0.0,8630.4,6459.5,0.0,0.0,0.0,59311.4,0.0,0.0,2502.1,36119.9,63267.8,0.0,8614.7,0.0,0.0,261975.6,10203.3
2050-01-01 03:00:00,477902.7,21699.8,2058.2,8549.8,510210.5,463034.4,239143.4,0.0311,0.0374,0.87,0.9,56.8,2.4,0.31,6.7,257.2,0.05,56.9,14.4,71.4,47.4,2.0,0.27,5.6,214.0,0.04,47.5,12.0,59.5,182.0,7.8,1.02,18.5,815.3,0.11,182.5,42.9,225.4,321.6,13.7,1.78,31.1,1440.5,0.14,322.5,74.0,396.5,14.69,0.0,0.16,14.84,15.95,0.0,0.17,16.12,510210.4,271067.0,55559.7,2264.0,0.0,8599.8,6746.4,0.0,0.0,0.0,59306.1,0.0,0.0,2502.1,33291.4,63267.8,0.0,7606.3,0.0,0.0,262775.4,8291.6
2050-01-01 04:00:00,468739.4,20060.3,2341.1,8393.4,499534.1,454213.3,235114.0,0.031,0.0367,0.87,0.89,58.2,2.5,0.33,6.9,263.2,0.05,58.4,14.8,73.2,48.6,2.1,0.28,5.7,218.4,0.04,48.8,12.2,61.0,187.7,8.2,1.07,18.6,836.2,0.1,188.2,43.6,231.8,303.4,11.0,1.39,31.1,1419.3,0.14,304.1,73.4,377.5,14.67,0.0,0.16,14.83,15.85,0.0,0.17,16.03,499534.1,264420.1,57177.4,2264.0,0.0,8630.4,6899.1,0.0,0.0,0.0,59280.9,0.0,0.0,2502.1,29226.5,63267.8,0.0,5865.9,0.0,0.0,257410.0,7010.1
2050-01-01 05:00:00,470189.6,19472.4,1658.6,8414.1,499734.6,455608.9,238109.7,0.031,0.0368,0.87,0.89,58.3,2.5,0.33,6.9,263.7,0.05,58.5,14.8,73.3,49.6,2.1,0.28,5.9,223.8,0.04,49.7,12.5,62.3,189.5,8.3,1.09,18.8,842.2,0.1,190.1,44.0,234.1,286.7,7.5,0.86,32.0,1434.2,0.13,287.2,74.8,362.0,14.71,0.0,0.16,14.87,15.88,0.0,0.17,16.05,499734.6,261625.0,62005.4,2264.0,0.0,8630.4,6899.1,0.0,0.0,0.0,59421.2,0.0,0.0,2502.1,29768.1,63267.8,0.0,3351.7,0.0,0.0,255231.4,6393.6
2050-01-01 06:00:00,480331.8,19507.4,1646.6,8296.1,509781.9,465376.3,246639.8,0.0311,0.0376,0.87,0.89,57.6,2.5,0.33,6.8,259.5,0.05,57.7,14.5,72.3,49.9,2.1,0.28,5.9,225.4,0.04,50.1,12.6,62.7,188.3,8.2,1.07,18.7,839.0,0.1,188.8,43.7,232.6,307.9,12.2,1.56,30.6,1408.1,0.14,308.7,72.6,381.3,14.62,0.0,0.16,14.78,15.82,0.0,0.18,15.99,509782.0,263142.2,72097.9,2264.0,0.0,8630.4,7050.3,0.0,0.0,421.8,59510.6,0.0,0.0,2502.1,27450.9,63267.8,0.0,3865.9,0.0,2.4,256691.4,6026.5
2050-01-01 07:00:00,495971.4,29069.7,213.0,7646.8,532900.9,480433.0,202580.8,0.0313,0.0388,0.88,0.9,54.7,2.4,0.31,6.5,246.2,0.05,54.8,13.8,68.6,44.9,2.0,0.26,5.3,201.5,0.04,45.1,11.3,56.4,176.3,8.1,1.07,17.3,772.7,0.1,176.8,40.3,217.2,353.2,20.1,2.75,29.5,1420.3,0.16,354.6,71.9,426.5,14.05,0.0,0.16,14.21,15.34,0.0,0.18,15.51,532900.9,330320.1,33604.4,2264.0,0.0,8729.1,7021.8,0.0,0.0,11536.6,58983.7,0.0,0.0,2502.1,25119.7,63267.8,0.0,1088.4,0.0,43580.1,268554.1,6649.2
