,,A,B,C,D,E,F
Geologic,2030-01-01 00:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-01 02:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-01 04:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-01 06:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-01 08:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-01 10:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-01 12:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-01 14:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-01 16:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-01 18:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-01 20:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-01 22:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-02 00:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-02 02:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-02 04:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-02 06:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-02 08:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-02 10:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-02 12:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-02 14:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-02 16:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-02 18:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-02 20:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-02 22:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 00:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 02:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 04:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 06:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 08:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 10:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 12:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 14:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 16:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 18:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 20:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-03 22:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-04 00:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-04 02:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-04 04:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-04 06:00:00,0.0,0.0,0.0,-166.66667999999999,0.0,0.0
Geologic,2030-01-04 08:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-04 10:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-04 12:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-04 14:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-04 16:00:00,0.0,0.0,0.0,16.66691999999921,0.0,0.0
Geologic,2030-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
Geologic,2030-01-04 20:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-04 22:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 00:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 02:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 04:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 06:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 08:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 10:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 12:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 14:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 16:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 18:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 20:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-05 22:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 00:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 02:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 04:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 06:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 08:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 10:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 12:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 14:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 16:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 18:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 20:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-06 22:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 00:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 02:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 04:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 06:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 08:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 10:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 12:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 14:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 16:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 18:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 20:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-07 22:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Tank,2030-01-01 00:00:00,437.11221919396394,5765.3901580629445,0.0,0.0,0.0,0.0
Tank,2030-01-01 02:00:00,437.11221919396394,5765.3901580629445,0.0,291.326107168798,0.0,436.6491567116491
Tank,2030-01-01 04:00:00,2306.273898454714,0.0,0.0,291.326107168798,3872.331324855497,436.6491567116491
Tank,2030-01-01 06:00:00,5794.100123300033,0.0,0.0,291.326107168798,0.0,436.6491567116491
Tank,2030-01-01 08:00:00,5872.6545896001035,0.0,0.0,291.326107168798,0.0,436.6491567116491
Tank,2030-01-01 10:00:00,0.0,0.0,0.0,291.326107168798,4269.603397519761,436.64915671165
Tank,2030-01-01 12:00:00,0.0,0.0,0.0,291.326107168798,3780.2953185538063,436.6491567116491
Tank,2030-01-01 14:00:00,0.0,0.0,0.0,291.326107168798,3522.0602285317327,436.64915671165
Tank,2030-01-01 16:00:00,0.0,0.0,0.0,0.0,1926.9349001378941,436.64915671165
Tank,2030-01-01 18:00:00,0.0,0.0,0.0,0.0,2260.9534793354887,31.10727189402587
Tank,2030-01-01 20:00:00,0.0,0.0,0.0,291.326107168798,2246.098304172767,436.64915671165
Tank,2030-01-01 22:00:00,0.0,0.0,0.0,291.326107168798,896.680082481802,436.64915671165
Tank,2030-01-02 00:00:00,0.0,0.0,0.0,291.1320438354651,204.2669392086118,436.5742708783173
Tank,2030-01-02 02:00:00,0.0,0.0,0.0,291.13204383546463,1054.2833970440297,436.5742708783164
Tank,2030-01-02 04:00:00,0.0,0.0,0.0,291.13204383546463,3296.798804927268,436.5742708783173
