,A,B,C,D,E,F
2030-01-01 00:00:00,376008.4844249805,1080748.54575,0.0,2000088846.7267,694147.0635765251,2000174712.2056
2030-01-01 02:00:00,374592.32570939965,1079727.4014,0.0,2000088402.88805,694147.0635765251,2000174712.2056
2030-01-01 04:00:00,374361.39582241175,1076497.38545,0.0,2000088686.2685,694147.0635765251,2000174712.2056
2030-01-01 06:00:00,357776.0094556296,1072977.9614,0.0,2000081578.54225,694147.0635765251,2000174597.0429
2030-01-01 08:00:00,359658.29706229456,1075203.09045,0.0,2000074846.39615,694147.0635765251,2000174126.7282
2030-01-01 10:00:00,275765.57315639366,1075276.27515,0.0,2000063947.6695,694147.0635765251,2000174041.4881
2030-01-01 12:00:00,260735.02522746133,1064722.1269,0.0,2000071372.0582,694147.0635765251,2000173884.8226
2030-01-01 14:00:00,265907.22350793204,1046047.46135,0.0,2000037396.7839,694147.0635765251,2000172636.8179
2030-01-01 16:00:00,169077.3252709508,1044239.53015,0.0,2000030981.4062,694147.0635765251,2000168571.4395
2030-01-01 18:00:00,183447.66303074505,1047334.18885,0.0,2000040384.67035,694147.0635765251,2000163375.8403
2030-01-01 20:00:00,199891.3404380127,1045346.4853000001,0.0,2000041046.48515,694147.0635765251,2000162092.5702
2030-01-01 22:00:00,133387.29572134637,1041292.82475,0.0,2000040056.67125,694147.0635765251,2000165043.9321
2030-01-02 00:00:00,110903.33605422027,1027077.5188,0.0,2000037263.8889,694147.0635765251,2000166158.7543
2030-01-02 02:00:00,162961.47024328954,1019464.62015,0.0,2000030276.4471,694147.0635765251,2000161584.5211
2030-01-02 04:00:00,279688.0274829846,1019993.5873,0.0,2000033500.28765,694147.0635765251,2000151533.9709
2030-01-02 06:00:00,295227.609231612,1027415.31475,0.0,2000039600.4607,694147.0635765251,2000132078.1523
2030-01-02 08:00:00,258475.8962409325,1032870.3807,0.0,2000062360.85925,694147.0635765251,2000109480.5709
2030-01-02 10:00:00,304705.6023524514,1042802.5066,0.0,2000068772.6395,694147.0635765251,2000089310.2337
2030-01-02 12:00:00,287019.61359055754,1052081.60945,0.0,2000073237.9489,694147.0635765251,2000082773.2829
2030-01-02 14:00:00,181743.50870969053,1045184.69865,0.0,2000057792.3567,694147.0635765251,2000088743.076
2030-01-02 16:00:00,178958.457550279,1053849.31685,0.0,2000060711.5602,694147.0635765251,2000105862.417
2030-01-02 18:00:00,139557.98257202285,1043398.00345,0.0,2000043626.97055,694147.0635765251,2000124966.1517
2030-01-02 20:00:00,120062.92871585103,1033388.39715,0.0,2000031498.9067,694147.0635765251,2000143885.4768
2030-01-02 22:00:00,118568.38735526723,1050924.25285,0.0,2000047651.0153,694147.0635765251,2000153777.2687
2030-01-03 00:00:00,78835.49851719197,1051486.3902,0.0,2000050669.30415,694147.0635765251,2000156384.3264
2030-01-03 02:00:00,33927.036313785,1045198.5819999999,0.0,2000039799.51805,694147.0635765251,2000148136.5786
2030-01-03 04:00:00,12424.178670725612,1042835.3025,0.0,2000035940.79565,694147.0635765251,2000134277.6676
2030-01-03 06:00:00,2599.4370067183822,1034998.0033,0.0,2000031595.19535,694147.0635765251,2000120485.1252
2030-01-03 08:00:00,3114.3638112042368,1030542.4915,0.0,2000033937.22145,694147.0635765251,2000105860.0783
2030-01-03 10:00:00,12020.851396991715,1036856.0193,0.0,2000049845.1799,694147.0635765251,2000088292.0107
2030-01-03 12:00:00,28285.388789639852,1040597.0538999999,0.0,2000076214.38935,694147.0635765251,2000068949.5869
2030-01-03 14:00:00,14596.100618761984,1023823.26295,0.0,2000048904.90305,694147.0635765251,2000058306.1967
2030-01-03 16:00:00,11360.645752962633,1028910.19545,0.0,2000047816.862,694147.0635765251,2000058246.1232
2030-01-03 18:00:00,17581.37406008711,1048946.1693,0.0,2000062815.3915,694147.0635765251,2000072829.8575
2030-01-03 20:00:00,21558.361983462863,1063260.2936,0.0,2000074055.73135,694147.0635765251,2000090805.0241
2030-01-03 22:00:00,43210.189877592835,1071814.90975,0.0,2000086747.8066,694147.0635765251,2000120280.4964
2030-01-04 00:00:00,98262.83476380154,1083205.21665,0.0,2000089318.1667,694147.0635765251,2000159407.0534
2030-01-04 02:00:00,188695.9585606984,1076539.27795,0.0,2000089128.8351,694147.0635765251,2000170878.1236
2030-01-04 04:00:00,351736.8205482953,1066020.50285,0.0,2000079454.4715,694147.0635765251,2000173501.0376
2030-01-04 06:00:00,379897.3814052414,1063701.6393,0.0,2000081473.3728,694147.0635765251,2000174709.3273
2030-01-04 08:00:00,379921.3091041634,1074351.10545,0.0,2000085592.5798,694147.0635765251,2000174692.2095
2030-01-04 10:00:00,377574.63455789344,1082344.69075,0.0,2000088463.667,694147.0635765251,2000174631.6567
2030-01-04 12:00:00,379259.4285233646,1086107.8644,0.0,2000089152.8101,694147.0635765251,2000174395.798
2030-01-04 14:00:00,379365.3927850567,1087252.07695,0.0,2000089365.0965,694147.0635765251,2000174027.3796
2030-01-04 16:00:00,379834.9598970462,1086643.24945,0.0,2000089352.42395,694147.0635765251,2000174677.2459
2030-01-04 18:00:00,380033.3930370584,1087580.50445,0.0,2000089380.9548,694147.0635765251,2000174869.5157
2030-01-04 20:00:00,375180.5075639609,1085015.69935,0.0,2000088009.0032,694147.0635765251,2000174808.5597
2030-01-04 22:00:00,374554.8935768876,1084412.07295,0.0,2000088025.8806,694147.0635765251,2000174712.2056
2030-01-05 00:00:00,376092.5139750378,1077515.9780000001,0.0,2000089018.62985,694147.0635765251,2000174712.2056
2030-01-05 02:00:00,375828.8791860607,1083804.4771,0.0,2000088810.4844,694147.0635765251,2000174712.2056
2030-01-05 04:00:00,377453.2987164502,1086912.97405,0.0,2000089189.9598,694147.0635765251,2000174712.2056
2030-01-05 06:00:00,379779.7671427188,1086546.0597,0.0,2000088551.45585,694147.0635765251,2000174712.2056
2030-01-05 08:00:00,379709.7376334264,1085717.76225,0.0,2000085634.0845,694147.0635765251,2000174380.3492
2030-01-05 10:00:00,330347.2787451826,1084904.84065,0.0,2000085949.8428,694147.0635765251,2000174325.2807
2030-01-05 12:00:00,344689.1415024846,1080429.8026,0.0,2000082192.25795,694147.0635765251,2000174238.0088
2030-01-05 14:00:00,112734.03332427496,1046860.5668,0.0,2000051601.51395,694147.0635765251,2000171366.8661
2030-01-05 16:00:00,6055.4075443917245,1010199.6677,0.0,2000015804.8663,694147.0635765251,2000154412.8068
2030-01-05 18:00:00,182.99217525666845,1002159.33225,0.0,2000003566.5084,694147.0635765251,2000092223.8744
2030-01-05 20:00:00,1352.407040824494,1006458.68345,0.0,2000009493.18105,694147.0635765251,2000047050.6659
2030-01-05 22:00:00,2605.0679661505787,1032668.3689,0.0,2000066066.811,694147.0635765251,2000021774.6895
2030-01-06 00:00:00,23703.26299736183,1053699.637,0.0,2000076629.9778,694147.0635765251,2000007730.3443
2030-01-06 02:00:00,65844.97940010225,1057550.0506,0.0,2000071552.812,694147.0635765251,2000001625.0286
2030-01-06 04:00:00,85120.3732609616,1058491.57115,0.0,2000080943.9402,694147.0635765251,2000004526.5048
