,,A,B,C,D,E,F
Geologic,2030-01-01 00:00:00,0.0,0.0,0.0,2166.666919999999,0.0,0.0
Geologic,2030-01-01 02:00:00,0.0,0.0,0.0,2216.666919999999,0.0,0.0
Geologic,2030-01-01 04:00:00,0.0,0.0,0.0,2266.666919999999,0.0,0.0
Geologic,2030-01-01 06:00:00,0.0,0.0,0.0,2316.666919999999,0.0,0.0
Geologic,2030-01-01 08:00:00,0.0,0.0,0.0,2366.666919999999,0.0,0.0
Geologic,2030-01-01 10:00:00,0.0,0.0,0.0,2416.666919999999,0.0,0.0
Geologic,2030-01-01 12:00:00,0.0,0.0,0.0,2466.666919999999,0.0,0.0
Geologic,2030-01-01 14:00:00,0.0,0.0,0.0,2516.666919999999,0.0,0.0
Geologic,2030-01-01 16:00:00,0.0,0.0,0.0,2566.666919999999,0.0,0.0
Geologic,2030-01-01 18:00:00,0.0,0.0,0.0,2616.666919999999,0.0,0.0
Geologic,2030-01-01 20:00:00,0.0,0.0,0.0,2666.666919999999,0.0,0.0
Geologic,2030-01-01 22:00:00,0.0,0.0,0.0,2716.666919999999,0.0,0.0
Geologic,2030-01-02 00:00:00,0.0,0.0,0.0,2766.666919999999,0.0,0.0
Geologic,2030-01-02 02:00:00,0.0,0.0,0.0,2816.666919999999,0.0,0.0
Geologic,2030-01-02 04:00:00,0.0,0.0,0.0,2866.666919999999,0.0,0.0
Geologic,2030-01-02 06:00:00,0.0,0.0,0.0,2916.666919999999,0.0,0.0
Geologic,2030-01-02 08:00:00,0.0,0.0,0.0,2966.666919999999,0.0,0.0
Geologic,2030-01-02 10:00:00,0.0,0.0,0.0,3016.666919999999,0.0,0.0
Geologic,2030-01-02 12:00:00,0.0,0.0,0.0,3066.666919999999,0.0,0.0
Geologic,2030-01-02 14:00:00,0.0,0.0,0.0,3116.666919999999,0.0,0.0
Geologic,2030-01-02 16:00:00,0.0,0.0,0.0,3166.666919999999,0.0,0.0
Geologic,2030-01-02 18:00:00,0.0,0.0,0.0,3000.0002399999994,0.0,0.0
Geologic,2030-01-02 20:00:00,0.0,0.0,0.0,2833.3335599999996,0.0,0.0
Geologic,2030-01-02 22:00:00,0.0,0.0,0.0,2666.6668799999998,0.0,0.0
Geologic,2030-01-03 00:00:00,0.0,0.0,0.0,2500.0002,0.0,0.0
Geologic,2030-01-03 02:00:00,0.0,0.0,0.0,2333.33352,0.0,0.0
Geologic,2030-01-03 04:00:00,0.0,0.0,0.0,2166.6668400000003,0.0,0.0
Geologic,2030-01-03 06:00:00,0.0,0.0,0.0,2000.0001600000003,0.0,0.0
Geologic,2030-01-03 08:00:00,0.0,0.0,0.0,1833.3334800000002,0.0,0.0
Geologic,2030-01-03 10:00:00,0.0,0.0,0.0,1666.6668000000002,0.0,0.0
Geologic,2030-01-03 12:00:00,0.0,0.0,0.0,1500.0001200000002,0.0,0.0
Geologic,2030-01-03 14:00:00,0.0,0.0,0.0,1333.33344,0.0,0.0
Geologic,2030-01-03 16:00:00,0.0,0.0,0.0,1166.66676,0.0,0.0
Geologic,2030-01-03 18:00:00,0.0,0.0,0.0,1000.00008,0.0,0.0
Geologic,2030-01-03 20:00:00,0.0,0.0,0.0,833.3334,0.0,0.0
Geologic,2030-01-03 22:00:00,0.0,0.0,0.0,666.6667199999999,0.0,0.0
Geologic,2030-01-04 00:00:00,0.0,0.0,0.0,500.00003999999996,0.0,0.0
Geologic,2030-01-04 02:00:00,0.0,0.0,0.0,333.33335999999997,0.0,0.0
Geologic,2030-01-04 04:00:00,0.0,0.0,0.0,166.66667999999999,0.0,0.0
Geologic,2030-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
Geologic,2030-01-04 08:00:00,0.0,0.0,0.0,50.0,0.0,0.0
Geologic,2030-01-04 10:00:00,0.0,0.0,0.0,100.0,0.0,0.0
Geologic,2030-01-04 12:00:00,0.0,0.0,0.0,150.0,0.0,0.0
