,,A,B,C,D,E,F
Grid,2030-01-01 00:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-01 02:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-01 04:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-01 06:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-01 08:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-01 10:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-01 12:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-01 14:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-01 16:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-01 18:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-01 20:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-01 22:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 00:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 02:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 04:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 06:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 08:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 10:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 12:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 14:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 16:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 18:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 20:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
Grid,2030-01-02 22:00:00,0.0,0.0,0.0,2000000000.0,694147.0635765251,2000000000.0
