,A,B,C,D,E,F
Grid,0.0,0.0,0.0,64621.71892322804,784247.681359593,131069.91911104797
Nuclear,0.0,365476.53123109025,0.0,0.0,0.0,0.0
Offshore_Wind,0.0,0.0,0.0,0.0,0.0,0.0
Onshore_Wind,0.0,0.0,0.0,50000.0,0.0,0.0
Solar,0.0,0.0,0.0,44803.34653896495,949772.9660889449,173397.19664072996
PEM_Electrolyser,0.0,365476.53123109025,0.0,64642.985823228046,784247.681359593,131069.91911104797
Geologic,0.0,0.0,0.0,20000.0,0.0,0.0
Tank,0.0,-2.1827872842550278e-11,0.0,2986.2675819617143,59848.99634596174,7961.785242579965
H2_Unserved_Capacity,0.0,0.0,0.0,0.0,0.0,0.0
