,B,A,C,D,E,F
Grid,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,152.25941441436947,152.25941441436947,152.25941441436947,152.25941441436947,152.25941441436947,152.25941441436947
Offshore_Wind,366.8917252182064,366.8917252182064,366.8917252182064,366.8917252182064,366.8917252182064,366.8917252182064
Onshore_Wind,1450.1286254274266,145.01286254274262,145.01286254274262,145.01286254274262,145.01286254274262,145.01286254274262
Solar,59.06722887600833,59.06722887600833,59.06722887600833,59.06722887600833,59.06722887600833,59.06722887600833
PEM Electrolyzer,77.20947095943825,77.20947095943825,77.20947095943825,77.20947095943825,77.20947095943825,77.20947095943825
Geologic,4.183987454953225,4.183987454953225,4.183987454953225,4.183987454953225,4.183987454953225,4.183987454953225
Tank,97.00290352721832,97.00290352721832,97.00290352721832,97.00290352721832,97.00290352721832,97.00290352721832
