,,A,B,C,D,E,F
Grid,2040-01-01 00:00:00,0.0,0.0,0.0,67535.5092,552076.0100108262,31376.867079354706
Grid,2040-01-01 02:00:00,0.0,0.0,0.0,70997.17955,538167.8483561384,0.0
Grid,2040-01-01 04:00:00,0.0,0.0,0.0,65538.24845,546494.9966320306,0.0
Grid,2040-01-01 06:00:00,0.0,0.0,0.0,60405.781849999985,538167.8483561384,0.0
Grid,2040-01-01 08:00:00,0.0,0.0,0.0,28101.86344999999,0.0,0.0
Grid,2040-01-01 10:00:00,0.0,0.0,0.0,6912.716,0.0,0.0
Grid,2040-01-01 12:00:00,0.0,0.0,0.0,4052.0885321705573,65478.10620099888,1677.4580052837555
Grid,2040-01-01 14:00:00,0.0,0.0,0.0,35407.343942289765,124821.78362702252,38026.10457990575
Grid,2040-01-01 16:00:00,0.0,0.0,0.0,75497.33625345927,297800.8509777542,83952.22532011839
Grid,2040-01-01 18:00:00,0.0,0.0,0.0,101305.77155419232,1568495.362719186,262139.83822209595
Grid,2040-01-01 20:00:00,0.0,0.0,0.0,104618.55083561954,1568495.362719186,121304.23217537592
Grid,2040-01-01 22:00:00,0.0,0.0,0.0,83500.7416,1568495.362719186,3913.863783996232
Grid,2040-01-02 00:00:00,0.0,0.0,0.0,81949.9313,0.0,0.0
Grid,2040-01-02 02:00:00,0.0,0.0,0.0,80787.6736,0.0,0.0
Grid,2040-01-02 04:00:00,0.0,0.0,0.0,84634.9174,550017.1131618634,0.0
Grid,2040-01-02 06:00:00,0.0,0.0,0.0,88223.97439999999,946987.5784729875,0.0
Grid,2040-01-02 08:00:00,0.0,0.0,0.0,87714.73225,0.0,0.0
Grid,2040-01-02 10:00:00,0.0,0.0,0.0,87300.4031,0.0,0.0
Grid,2040-01-02 12:00:00,0.0,0.0,0.0,87032.47682948915,98026.14096255833,4853.435044805898
Grid,2040-01-02 14:00:00,0.0,0.0,0.0,98196.6241240126,633181.2330872156,56483.2734610757
Grid,2040-01-02 16:00:00,0.0,0.0,0.0,102000.83761886109,1276668.2770078308,98880.45437706358
Grid,2040-01-02 18:00:00,0.0,0.0,0.0,129243.43784645609,1568495.362719186,262139.83822209595
Grid,2040-01-02 20:00:00,0.0,0.0,0.0,129243.43784645609,1568495.362719186,53111.41671779359
Grid,2040-01-02 22:00:00,0.0,0.0,0.0,84249.89635,1568495.362719186,0.0
Grid,2040-01-03 00:00:00,0.0,0.0,0.0,86245.09445,951095.0279785745,0.0
Grid,2040-01-03 02:00:00,0.0,0.0,0.0,86736.14429999999,0.0,0.0
Grid,2040-01-03 04:00:00,0.0,0.0,0.0,84606.26434999998,561535.9090047095,0.0
Grid,2040-01-03 06:00:00,0.0,0.0,0.0,129243.43784645609,1568495.362719186,262139.83822209595
