,A,B,C,D,E,F
2030-01-01 00:00:00,1411.69273105419,3232.56774999995,0.0,99530.3578285886,5.94544444583002e-10,184537.08026754
2030-01-01 02:00:00,0.0,2211.42339999993,0.0,83853.80535,4.76196213597987e-10,184925.456735921
2030-01-01 04:00:00,0.0,0.0,0.0,84137.1858,5.95265992639358e-10,185059.506524364
2030-01-01 06:00:00,0.0,0.0,0.0,77029.45955,5.95265992639358e-10,182790.230656507
2030-01-01 08:00:00,0.0,0.0,0.0,70297.31345,5.95265992639358e-10,184443.234148324
2030-01-01 10:00:00,0.0,0.0,0.0,59398.5868,7.13648920170192e-10,181912.439913389
2030-01-01 12:00:00,0.0,0.0,0.0,66822.9755,8.34574787692485e-10,186417.107630214
2030-01-01 14:00:00,0.0,0.0,0.0,32847.7012,5.98331325409174e-10,181133.248940853
2030-01-01 16:00:00,0.0,0.0,0.0,26432.3235,5.98331325409174e-10,190482.645493004
2030-01-01 18:00:00,0.0,0.0,0.0,35835.58765,5.60757869552775e-10,190649.984913527
2030-01-01 20:00:00,0.0,0.0,0.0,36497.40245,5.98331325409174e-10,187725.857666924
2030-01-01 22:00:00,0.0,0.0,0.0,35507.58855,4.75300236953715e-10,172778.421699898
2030-01-02 00:00:00,0.0,0.0,0.0,32714.8062,5.94224252391408e-10,173571.461829453
2030-01-02 02:00:00,0.0,0.0,0.0,25727.3644,7.08871683786834e-10,170979.789592313
2030-01-02 04:00:00,0.0,0.0,0.0,28951.20495,4.73483117842591e-10,158834.870210629
2030-01-02 06:00:00,0.0,0.0,0.0,35051.378,4.68649136976739e-10,137157.300291421
2030-01-02 08:00:00,0.0,0.0,0.0,57811.77655,5.79417624679327e-10,112572.897005542
2030-01-02 10:00:00,0.0,0.0,0.0,64223.5568,5.7060826761532e-10,98605.511573578
2030-01-02 12:00:00,0.0,0.0,0.0,68688.8662,4.48345390490498e-10,98655.2825505169
2030-01-02 14:00:00,0.0,0.0,0.0,53243.274,5.98331325409174e-10,145540.886543861
2030-01-02 16:00:00,0.0,0.0,0.0,71385.044242047,104943.165456666,184286.054593113
2030-01-02 18:00:00,0.0,0.0,0.0,132649.620774297,694147.063576526,249298.462345585
2030-01-02 20:00:00,0.0,0.0,0.0,26949.824,5.98331325409174e-10,164497.031188412
2030-01-02 22:00:00,0.0,0.0,0.0,43101.9326,7.13177877682323e-10,157515.254411184
2030-01-03 00:00:00,0.0,0.0,0.0,46120.22145,5.9475169227473e-10,154928.360351963
2030-01-03 02:00:00,0.0,0.0,0.0,35250.43535,5.92838114325904e-10,145676.784376595
2030-01-03 04:00:00,0.0,0.0,0.0,31391.7129500001,3.55211142935295e-10,131179.899040759
2030-01-03 06:00:00,0.0,0.0,0.0,132649.620774297,694147.063576526,249298.462345585
2030-01-03 08:00:00,0.0,0.0,0.0,29388.13875,5.83975857122591e-10,101383.212874712
2030-01-03 10:00:00,0.0,0.0,0.0,45296.0972,4.64338124392823e-10,84177.390650149
2030-01-03 12:00:00,0.0,0.0,0.0,71665.30665,5.74536262964697e-10,72205.2557128211
2030-01-03 14:00:00,0.0,0.0,0.0,44355.82035,5.98331325409174e-10,112162.53250982
2030-01-03 16:00:00,0.0,0.0,0.0,132649.620774297,694147.063576526,249298.462345585
2030-01-03 18:00:00,0.0,0.0,0.0,132649.620774297,694147.063576526,249298.462345585
2030-01-03 20:00:00,0.0,0.0,0.0,69506.64865,5.98331325409174e-10,123829.316972563
2030-01-03 22:00:00,0.0,0.0,0.0,82198.7239,4.62661550378303e-10,117552.445611671
2030-01-04 00:00:00,0.0,5689.23864999986,0.0,84769.084,5.84734437875425e-10,161324.195812379
2030-01-04 02:00:00,0.0,0.0,0.0,84579.7524,7.13157200064501e-10,178996.812122547
2030-01-04 04:00:00,0.0,0.0,0.0,132649.620774297,694147.063576526,249298.462345585
2030-01-04 06:00:00,5288.32572314153,0.0,0.0,132649.620774297,694147.063576526,249298.462345585
2030-01-04 08:00:00,5312.1779639019,0.0,0.0,81043.4971,4.74654169831032e-10,184580.890038327
2030-01-04 10:00:00,2972.90386794714,4828.71274999992,0.0,83914.5843,4.75751073924899e-10,184460.136033537
2030-01-04 12:00:00,4652.38468334711,8591.8864,0.0,84603.7274,5.96327530754545e-10,186559.026037869
2030-01-04 14:00:00,4758.01477716106,9736.09895000003,0.0,84816.0138,5.98331325409174e-10,198014.023789787
2030-01-04 16:00:00,5226.10106681533,9127.27145000001,0.0,132649.620774297,694147.063576526,249298.462345585
2030-01-04 18:00:00,5423.90842998272,10064.5264499998,0.0,132649.620774297,694147.063576526,257482.9676406729
2030-01-04 20:00:00,586.326969912787,7499.72134999968,0.0,98677.7121296823,609032.27427002,249298.462345585
2030-01-04 22:00:00,0.0,6896.09494999988,0.0,83476.7979,5.95265992639358e-10,180395.070533022
2030-01-05 00:00:00,1495.45728632935,0.0,0.0,84469.54715,5.95265992639358e-10,185059.506524364
2030-01-05 02:00:00,1232.65389349123,6288.49909999987,0.0,84261.4017,5.95265992639358e-10,185059.506524364
2030-01-05 04:00:00,2851.95067004831,9396.99604999974,0.0,84640.8771,5.95265992639358e-10,184961.145199105
2030-01-05 06:00:00,5171.08236782794,9030.08169999968,0.0,132649.620774297,694147.063576526,249298.462345585
2030-01-05 08:00:00,5101.27370292353,8201.78425,0.0,81085.0018,5.60757869552775e-10,184603.022240678
2030-01-05 10:00:00,0.0,7388.86264999993,0.0,81400.7601,5.95265992639358e-10,184508.160438204
2030-01-05 12:00:00,0.0,2913.82459999982,0.0,77643.17525,8.35790847947112e-10,195056.257020958
2030-01-05 14:00:00,0.0,0.0,0.0,47052.43125,7.17997590491009e-10,249298.462345585
2030-01-05 16:00:00,0.0,0.0,0.0,11255.7836,5.98331325409174e-10,224543.69503392
2030-01-05 18:00:00,0.0,0.0,0.0,117305.922886479,694147.063576526,249298.462345585
2030-01-05 20:00:00,0.0,0.0,0.0,4944.09834999981,5.98331325409174e-10,92663.5616590475
2030-01-05 22:00:00,0.0,0.0,0.0,61517.7283,5.61446470131859e-10,18554.6192110447
2030-01-06 00:00:00,0.0,0.0,0.0,72080.8951000001,4.8567759665332e-10,3663.47601417041
2030-01-06 02:00:00,0.0,0.0,0.0,67003.7293,5.66064261045936e-10,0.0
2030-01-06 04:00:00,0.0,0.0,0.0,76394.8575,6.00040243597021e-10,3728.06895020015
2030-01-06 06:00:00,0.0,0.0,0.0,80049.23535,5.20043806139119e-10,21904.1158454885
2030-01-06 08:00:00,0.0,0.0,0.0,82474.429,5.36506129136838e-10,43203.041152168
2030-01-06 10:00:00,0.0,2341.80995000004,0.0,118016.734904774,514754.080497187,215435.451633189
2030-01-06 12:00:00,0.0,0.0,0.0,78724.13625,5.75632523516774e-10,68039.0796003031
2030-01-06 14:00:00,0.0,0.0,0.0,67802.38805,5.98331325409174e-10,127209.288575831
2030-01-06 16:00:00,0.0,0.0,0.0,66063.80465,5.98331325409174e-10,171904.192382538
2030-01-06 18:00:00,0.0,0.0,0.0,59758.75785,5.98331325409174e-10,175766.558739845
2030-01-06 20:00:00,0.0,0.0,0.0,132649.620774297,694147.063576526,249298.462345585
2030-01-06 22:00:00,0.0,0.0,0.0,69091.8512,6.5662650287819e-10,80605.3146905818
2030-01-07 00:00:00,0.0,2094.75764999992,0.0,81498.00375,5.43421843299785e-10,90521.3552526925
2030-01-07 02:00:00,0.0,2850.74925000008,0.0,79999.98995,5.64541728708851e-10,125886.401916354
2030-01-07 04:00:00,0.0,0.0,0.0,64328.7733,4.6831155689342e-10,164186.23990543
2030-01-07 06:00:00,0.0,3480.37444999989,0.0,74235.18195,5.89715443766692e-10,175819.970384885
2030-01-07 08:00:00,0.0,0.0,0.0,62155.6262,5.87297072101651e-10,171459.729054332
2030-01-07 10:00:00,0.0,0.0,0.0,29807.10925,4.68964138954447e-10,165840.730100206
2030-01-07 12:00:00,0.0,0.0,0.0,10794.99015,5.9201203885019e-10,166899.820650708
2030-01-07 14:00:00,0.0,0.0,0.0,554.559400000008,5.98331325409174e-10,230512.006068282
2030-01-07 16:00:00,0.0,0.0,0.0,0.0,5.98331325409174e-10,196304.416316782
2030-01-07 18:00:00,0.0,0.0,0.0,132649.620774297,694147.063576526,249298.462345585
2030-01-07 20:00:00,0.0,0.0,0.0,42454.788251172,0.0,187583.729991106
2030-01-07 22:00:00,0.0,0.0,0.0,98452.3796011718,159743.24568629,32484.3370910803
