,A,B,C,D,E,F
2050-01-01 00:00:00,0.0,719100.8725155758,0.0,2000082004.4209,1542657.4573521814,258148.7736378507
2050-01-01 02:00:00,0.0,719100.8725155758,0.0,2000080091.06895,1542657.4573521814,258148.7736378507
2050-01-01 04:00:00,0.0,719100.8725155758,0.0,2000048256.89655,1542657.4573521814,258148.7736378507
2050-01-01 06:00:00,0.0,719100.8725155758,0.0,2000050132.0496,1542657.4573521814,258148.7736378507
2050-01-01 08:00:00,0.0,719100.8725155758,0.0,2000033628.41235,1542657.4573521814,258148.7736378507
2050-01-01 10:00:00,0.0,719100.8725155758,0.0,2000016711.9031,1542657.4573521814,258148.7736378507
2050-01-01 12:00:00,0.0,719100.8725155758,0.0,2000011225.1664953,1607281.5439595857,259811.61483893712
2050-01-01 14:00:00,0.0,719100.8725155758,0.0,2000019838.3101468,1665851.2113836845,295832.36930519284
2050-01-01 16:00:00,0.0,719100.8725155758,0.0,2000045070.2181983,1836574.1436551646,341370.68332432536
2050-01-01 18:00:00,0.0,719100.8725155758,0.0,2000065828.7855427,1833821.7113871905,360908.8171332236
2050-01-01 20:00:00,0.0,719100.8725155758,0.0,2000103743.8915339,1800495.4964415734,347339.09462955734
2050-01-01 22:00:00,0.0,719100.8725155758,0.0,2000084869.1386,1542657.4573521814,258148.7736378507
2050-01-02 00:00:00,0.0,719100.8725155758,0.0,2000087191.1483,1542657.4573521814,258148.7736378507
2050-01-02 02:00:00,0.0,719100.8725155758,0.0,2000088840.0184,1542657.4573521814,258148.7736378507
2050-01-02 04:00:00,0.0,719100.8725155758,0.0,2000088322.30615,1542657.4573521814,258148.7736378507
2050-01-02 06:00:00,0.0,719100.8725155758,0.0,2000087893.9337,1542657.4573521814,258148.7736378507
2050-01-02 08:00:00,0.0,719100.8725155758,0.0,2000086920.3523,1542657.4573521814,258148.7736378507
2050-01-02 10:00:00,0.0,719100.8725155758,0.0,2000087505.29905,1542657.4573521814,258148.7736378507
2050-01-02 12:00:00,0.0,719100.8725155758,0.0,2000088358.9585576,1639405.0604356644,262945.8541821545
2050-01-02 14:00:00,0.0,719100.8725155758,0.0,2000097454.377304,2167580.2161293207,314044.2303984427
2050-01-02 16:00:00,0.0,719100.8725155758,0.0,2000096819.1303043,2257336.668478136,325052.191923618
2050-01-02 18:00:00,0.0,719100.8725155758,0.0,2000103045.912072,2167961.3618341237,328005.96371484554
2050-01-02 20:00:00,0.0,719100.8725155758,0.0,2000089068.061364,1759187.8765059686,310952.8106610572
2050-01-02 22:00:00,0.0,719100.8725155758,0.0,2000083211.34565,1542657.4573521814,258148.7736378507
2050-01-03 00:00:00,0.0,719100.8725155758,0.0,2000082587.00275,1542657.4573521814,258148.7736378507
2050-01-03 02:00:00,0.0,719100.8725155758,0.0,2000079733.25855,1542657.4573521814,258148.7736378507
2050-01-03 04:00:00,0.0,719100.8725155758,0.0,2000076397.8763,1542657.4573521814,258148.7736378507
2050-01-03 06:00:00,0.0,719100.8725155758,0.0,2000081645.8192,1542657.4573521814,258148.7736378507
2050-01-03 08:00:00,0.0,719100.8725155758,0.0,2000053067.21515,1542657.4573521814,258148.7736378507
2050-01-03 10:00:00,0.0,719100.8725155758,0.0,2000080552.7716,1542657.4573521814,258148.7736378507
2050-01-03 12:00:00,0.0,719100.8725155758,0.0,2000080950.3152113,1647223.9880529402,279313.0451084275
2050-01-03 14:00:00,0.0,719100.8725155758,0.0,2000101012.9100502,2322722.942337179,442737.9977423372
2050-01-03 16:00:00,0.0,719100.8725155758,0.0,2000104532.6932287,2370041.937043702,404243.3517835508
2050-01-03 18:00:00,0.0,719100.8725155758,0.0,2000097378.784396,2548501.0139910127,391830.10588258324
2050-01-03 20:00:00,0.0,719100.8725155758,0.0,2000090253.2903583,2027128.239471049,326295.3728890853
2050-01-03 22:00:00,0.0,719100.8725155758,0.0,2000082008.9753,1542657.4573521814,258148.7736378507
2050-01-04 00:00:00,0.0,719100.8725155758,0.0,2000082004.4143,1542657.4573521814,258148.7736378507
2050-01-04 02:00:00,0.0,719100.8725155758,0.0,2000082004.4143,1542657.4573521814,258148.7736378507
2050-01-04 04:00:00,0.0,719100.8725155758,0.0,2000082084.04565,1542657.4573521814,258148.7736378507
2050-01-04 06:00:00,0.0,719100.8725155758,0.0,2000082209.89655,1542657.4573521814,258148.7736378507
2050-01-04 08:00:00,0.0,719100.8725155758,0.0,2000078107.8343,1542657.4573521814,258148.7736378507
2050-01-04 10:00:00,0.0,719100.8725155758,0.0,2000071610.65175,1542657.4573521814,258148.7736378507
2050-01-04 12:00:00,0.0,719100.8725155758,0.0,2000065410.8628552,1623405.4863159053,267151.01295330207
2050-01-04 14:00:00,0.0,719100.8725155758,0.0,2000048546.195018,1837514.494469481,344786.47096695285
2050-01-04 16:00:00,0.0,719100.8725155758,0.0,2000047488.6269448,2071510.4341549189,355344.4416885392
2050-01-04 18:00:00,0.0,719100.8725155758,0.0,2000027255.8717458,2469823.322086612,325338.5701037166
2050-01-04 20:00:00,0.0,719100.8725155758,0.0,2000015818.504601,2106198.3089320785,301503.387565579
2050-01-04 22:00:00,0.0,719100.8725155758,0.0,2000015689.8615,1542657.4573521814,258148.7736378507
2050-01-05 00:00:00,0.0,719100.8725155758,0.0,2000057198.77825,1542657.4573521814,258148.7736378507
2050-01-05 02:00:00,0.0,719100.8725155758,0.0,2000081728.5651,1542657.4573521814,258148.7736378507
2050-01-05 04:00:00,0.0,719100.8725155758,0.0,2000081897.3671,1542657.4573521814,258148.7736378507
2050-01-05 06:00:00,0.0,719100.8725155758,0.0,2000082008.121,1542657.4573521814,258148.7736378507
2050-01-05 08:00:00,0.0,719100.8725155758,0.0,2000083145.5901,1542657.4573521814,258148.7736378507
2050-01-05 10:00:00,0.0,719100.8725155758,0.0,2000072149.2223,1542657.4573521814,258148.7736378507
2050-01-05 12:00:00,0.0,719100.8725155758,0.0,2000074970.2828124,1677796.2627043521,262220.84016758954
2050-01-05 14:00:00,0.0,719100.8725155758,0.0,2000054223.2819543,2472857.7652227054,340180.155265653
2050-01-05 16:00:00,0.0,719100.8725155758,0.0,2000071654.9742103,2494606.0829673437,380404.7290099455
2050-01-05 18:00:00,0.0,719100.8725155758,0.0,2000068238.8262477,2549238.07652935,410546.0865199977
2050-01-05 20:00:00,0.0,719100.8725155758,0.0,2000073261.0590713,2161293.2094865264,349284.25633969484
2050-01-05 22:00:00,0.0,719100.8725155758,0.0,2000071491.85975,1542657.4573521814,258148.7736378507
2050-01-06 00:00:00,0.0,719100.8725155758,0.0,2000081547.0493,1542657.4573521814,258148.7736378507
2050-01-06 02:00:00,0.0,719100.8725155758,0.0,2000059177.0837,1542657.4573521814,258148.7736378507
2050-01-06 04:00:00,0.0,719100.8725155758,0.0,2000031480.30035,1542657.4573521814,258148.7736378507
2050-01-06 06:00:00,0.0,719100.8725155758,0.0,2000013182.7613,1542657.4573521814,258148.7736378507
2050-01-06 08:00:00,0.0,719100.8725155758,0.0,2000014178.9665,1542657.4573521814,258148.7736378507
2050-01-06 10:00:00,0.0,719100.8725155758,0.0,2000049358.00775,1542657.4573521814,258148.7736378507
2050-01-06 12:00:00,0.0,719100.8725155758,0.0,2000089702.0507388,1553100.5299441137,270457.15994615445
