,5000
0,0.045708531
1,0.044064015
2,0.04577298
3,0.04582757
4,0.04582757
5,0.04582757
6,0.04582757
7,0.04582757
8,0.04582757
9,0.04582757
10,0.045826415
11,0.044368175
12,0.04400514
13,0.049939297
14,0.195203764
15,0.311898904
16,0.372419216
17,0.391175312
18,0.431705247
19,0.501869127
20,0.413007236
21,0.08428339
22,0.044025859
23,0.044669866
24,0.043955395
25,0.044993453
26,0.040468769
27,0.041249895
28,0.042558781
29,0.041313789
30,0.040572202
31,0.034263372
32,0.033563449
33,0.033104137
34,0.030862145
35,0.025871872
36,0.023224033
37,0.023715441
38,0.145525032
39,0.251197025
40,0.260219877
41,0.311924638
42,0.390665012
43,0.478980524
44,0.410211035
45,0.09524459
46,0.043707117
47,0.045474193
48,0.045627701
49,0.044681815
50,0.041241449
51,0.044640251
52,0.04306486
53,0.041140794
54,0.039787173
55,0.037744519
56,0.03664569
57,0.035756984
58,0.03566624
59,0.032229281
60,0.029955198
61,0.031029405
62,0.31447441
63,0.272522689
64,0.172689362
65,0.162703461
66,0.13356661
67,0.135847188
68,0.174057882
69,0.042446666
70,0.030898118
71,0.034459651
72,0.033809675
73,0.039589624
74,0.043644498
75,0.045492578
76,0.045726995
77,0.045711466
78,0.045796442
79,0.044153031
80,0.043766132
81,0.043110727
82,0.045811536
83,0.04433482
84,0.045097338
85,0.049565633
86,0.063485555
87,0.063158316
88,0.077364621
89,0.108395772
90,0.097599971
91,0.088390443
92,0.069863068
93,0.066925571
94,0.04582757
95,0.04582757
96,0.04582757
97,0.04582757
98,0.04582757
99,0.04582757
100,0.04582757
101,0.04582757
102,0.04582757
103,0.04582757
104,0.04582757
105,0.04582757
106,0.04582757
107,0.04582757
108,0.04582757
109,0.051387036
110,0.23898179
111,0.308788835
112,0.316341367
113,0.344176464
114,0.390611703
115,0.453285393
116,0.385077309
117,0.07922912
118,0.004754373
119,0.002445515
120,0.008521225
121,0.001872258
122,0.001670151
123,0.005975205
124,0.006996438
125,0.007128699
126,0.010998268
127,0.010354473
128,0.01363542
129,0.016012323
130,0.022793084
131,0.018963712
132,0.0325684
133,0.02965286
134,0.08019657
135,0.111372808
136,0.077985166
137,0.080430702
138,0.101945182
139,0.086115945
140,0.102156357
141,0.049212403
142,0.019593622
143,0.016895653
144,0.016800166
145,0.017128808
146,0.021851465
147,0.028842625
148,0.036602776
149,0.037667045
150,0.040479221
151,0.03977858
152,0.037271043
153,0.03958756
154,0.038093747
155,0.037273256
156,0.038097749
157,0.046094668
158,0.22022861
159,0.223089254
160,0.227969868
161,0.248659315
162,0.277851292
163,0.311691656
164,0.386746898
165,0.107475659
166,0.008630176
167,0.009494131
168,0.010005434
169,0.01002001
170,0.010008617
171,0.010008897
172,0.010038403
173,0.010853525
174,0.012050449
175,0.014275896
176,0.017058887
177,0.01745283
178,0.020487649
179,0.024669114
180,0.032282758
181,0.035097328
182,0.103256772
183,0.17784457
184,0.173621954
185,0.161945034
186,0.148278236
187,0.111425129
188,0.244154129
189,0.111368528
190,0.040534137
191,0.043431364
192,0.039710225
193,0.03665426
194,0.034570301
195,0.029184932
196,0.021402583
197,0.015655559
198,0.008569357
199,0.00759652
200,0.012724381
201,0.009149905
202,0.009755358
203,0.010006577
204,0.009977909
205,0.025056139
206,0.147096002
207,0.16052863
208,0.132237313
209,0.146316897
210,0.080127618
211,0.074008303
212,0.117967692
213,0.06433287
214,0.039382985
215,0.045613941
216,0.04582757
217,0.04582757
218,0.04582757
219,0.04582757
220,0.04582757
221,0.04582757
222,0.04582757
223,0.04582757
224,0.04582757
225,0.04582757
226,0.04582757
227,0.04582757
228,0.04582757
229,0.064245732
230,0.319709028
231,0.440443915
232,0.329903573
233,0.31694219
234,0.368345517
235,0.474186591
236,0.420885859
237,0.141298231
238,0.030075202
239,0.034969307
240,0.036507442
241,0.030453248
242,0.025578953
243,0.021020946
244,0.02048076
245,0.018879433
246,0.01915434
247,0.013876486
248,0.013608256
249,0.01422563
250,0.012839872
251,0.013255078
252,0.01281755
253,0.013504404
254,0.097386821
255,0.098639534
256,0.114223797
257,0.122641788
258,0.131623984
259,0.106544995
260,0.075962351
261,0.025271158
262,0.020294333
263,0.017957879
264,0.01791239
265,0.024597748
266,0.032389742
267,0.040344429
268,0.037658921
269,0.04301322
270,0.044385294
271,0.045204259
272,0.045070078
273,0.041907962
274,0.036734999
275,0.028952368
276,0.027592392
277,0.034926165
278,0.175736962
279,0.277655669
280,0.273298986
281,0.271538051
282,0.265646891
283,0.262316951
284,0.217480735
285,0.067978595
286,0.012742141
287,0.011772902
288,0.011197421
289,0.010519781
290,0.010033291
291,0.00998503
292,0.009185537
293,0.003797813
294,0.001457542
295,0.000653146
296,0.00176173
297,0.002260343
298,0.001625029
299,0.001291226
300,0.007396929
301,0.013695363
302,0.029056099
303,0.038672251
304,0.080760817
305,0.173857258
306,0.111286819
307,0.096092119
308,0.118915804
309,0.098782251
310,0.024426563
311,0.030365228
312,0.032252809
313,0.031235582
314,0.026797986
315,0.03488
316,0.040389637
317,0.04358608
318,0.045414444
319,0.045712181
320,0.045715398
321,0.043790459
322,0.036166421
323,0.041483646
324,0.037616325
325,0.065064617
326,0.286322507
327,0.287100476
328,0.189631601
329,0.186603248
330,0.257814121
331,0.202394139
332,0.229830781
333,0.117592961
334,0.016410322
335,0.01474119
336,0.011966158
337,0.021930268
338,0.030604869
339,0.032640151
340,0.032607716
341,0.035970703
342,0.033038012
343,0.03858928
344,0.033379142
345,0.027175645
346,0.015224162
347,0.01303793
348,0.008334677
349,0.026872872
350,0.110523835
351,0.164270162
352,0.175488331
353,0.189098641
354,0.174239608
355,0.200457446
356,0.228879805
357,0.099284729
358,0.006710191
