,100
0,0.873561028
1,0.873561028
2,0.873561028
3,0.873561028
4,0.873561028
5,0.873561028
6,0.873561028
7,0.872409401
8,0.873560532
9,0.86770675
10,0.87018763
11,0.870227251
12,0.869442674
13,0.869405552
14,0.864211439
15,0.86215674
16,0.848188054
17,0.837526341
18,0.817125394
19,0.816633009
20,0.808331584
21,0.812594118
22,0.821035008
23,0.829404313
24,0.83452776
25,0.827059783
26,0.815123494
27,0.800721717
28,0.776539241
29,0.738800468
30,0.687154128
31,0.633627395
32,0.575825718
33,0.518979991
34,0.464189431
35,0.428912906
36,0.414627334
37,0.413105495
38,0.427565719
39,0.459865041
40,0.508361222
41,0.550262948
42,0.595561775
43,0.654099742
44,0.702221376
45,0.736633392
46,0.759457933
47,0.778314754
48,0.790131425
49,0.773711839
50,0.753577469
51,0.727788317
52,0.689078967
53,0.653697709
54,0.615615211
55,0.589236041
56,0.552393681
57,0.506207102
58,0.468975558
59,0.413944549
60,0.366992559
61,0.32250331
62,0.300819688
63,0.282242279
64,0.281722749
65,0.300738483
66,0.343174963
67,0.385123612
68,0.429653506
69,0.478396735
70,0.550615037
71,0.652189927
72,0.762572948
73,0.831497586
74,0.852595201
75,0.856186035
76,0.862949448
77,0.872060928
78,0.873532245
79,0.873561028
80,0.873525985
81,0.87339611
82,0.873325723
83,0.872990844
84,0.872967003
85,0.870990977
86,0.869926224
87,0.870347572
88,0.872485288
89,0.874287171
90,0.874452431
91,0.874242726
92,0.874342731
93,0.873742866
94,0.873561028
95,0.873561028
96,0.873561028
97,0.873561028
98,0.873561028
99,0.873561028
100,0.873561028
101,0.873561028
102,0.873561028
103,0.873561028
104,0.872321527
105,0.871481965
106,0.873551769
107,0.869701038
108,0.870627793
109,0.871752295
110,0.864226883
111,0.849441778
112,0.830909421
113,0.713218647
114,0.536380479
115,0.385858265
116,0.278922002
117,0.191584657
118,0.130856653
119,0.086890242
120,0.054720187
121,0.022583256
122,0.009283372
123,0.006966914
124,0.013530776
125,0.031734272
126,0.068438159
127,0.097901789
128,0.137932836
129,0.212236537
130,0.227599083
131,0.238857477
132,0.265015263
133,0.322385258
134,0.374666748
135,0.435330536
136,0.476225296
137,0.480103146
138,0.471170358
139,0.446240874
140,0.424974599
141,0.392955996
142,0.372094181
143,0.375668077
144,0.401269283
145,0.444746753
146,0.526202045
147,0.631293187
148,0.736790236
149,0.805411649
150,0.832065932
151,0.83260944
152,0.835170205
153,0.839338748
154,0.83489701
155,0.820409565
156,0.788338051
157,0.774379833
158,0.770368311
159,0.74415592
160,0.682969048
161,0.580689821
162,0.466071321
163,0.364197111
164,0.276145207
165,0.190048515
166,0.124163209
167,0.077431804
168,0.049206561
169,0.035013395
170,0.029480139
171,0.029611755
172,0.033959293
173,0.048477107
174,0.076173559
175,0.123376102
176,0.18069357
177,0.246001977
178,0.320588996
179,0.39663957
180,0.470796482
181,0.523093433
182,0.572329854
183,0.617427366
184,0.65150544
185,0.651928447
186,0.630590034
187,0.624484758
188,0.614739869
189,0.575221435
190,0.529822418
191,0.491394147
192,0.450104143
193,0.39724952
194,0.344694554
195,0.29911131
196,0.238307173
197,0.186114587
198,0.148588041
199,0.118180968
200,0.100096638
