,50000.0
0,0.32332253
1,0.301120435
2,0.314264043
3,0.292585643
4,0.23222539
5,0.194651
6,0.145669197
7,0.125862308
8,0.140472275
9,0.15565627
10,0.217746688
11,0.408687688
12,0.553729785
13,0.734839321
14,0.765364556
15,0.768517961
16,0.728893085
17,0.675029206
18,0.681758859
19,0.727002309
20,0.737551672
21,0.805572686
22,0.870627113
23,0.881644811
24,0.894576284
25,0.888460269
26,0.892332279
27,0.87914389
28,0.886866456
29,0.872124203
30,0.853733028
31,0.866649354
32,0.861670951
33,0.882684641
34,0.892407487
35,0.892987107
36,0.894262791
37,0.894828305
38,0.894838506
39,0.887004239
40,0.879484776
41,0.874426543
42,0.87412979
43,0.849747454
44,0.842627544
45,0.834870249
46,0.805586597
47,0.752842975
48,0.805355921
49,0.778464493
50,0.831397231
51,0.821059573
52,0.83792335
53,0.749983294
54,0.789038708
55,0.756243961
56,0.762541649
57,0.745013914
58,0.794085852
59,0.772964486
60,0.726933928
61,0.729919275
62,0.665929619
63,0.577245071
64,0.540901899
65,0.516162066
66,0.485753292
67,0.473652528
68,0.441617959
69,0.444968324
70,0.406436037
71,0.344332586
72,0.367060885
73,0.349249895
74,0.309482137
75,0.275761087
76,0.278338189
77,0.241076022
78,0.221174871
79,0.247934696
80,0.253409116
81,0.297487204
82,0.313805055
83,0.349790815
84,0.335680292
85,0.35233053
86,0.3761774
87,0.353382781
88,0.397184364
89,0.435432022
90,0.490239859
91,0.502596837
92,0.466018455
93,0.487248938
94,0.650026142
95,0.780595239
96,0.812109682
97,0.849702009
98,0.828869604
99,0.779465438
100,0.711372792
101,0.659431004
102,0.663459049
103,0.709946395
104,0.802816857
105,0.85057965
106,0.822164177
107,0.768121176
108,0.706976169
109,0.758220503
110,0.684637179
111,0.367333414
112,0.414725844
113,0.39139988
114,0.354781079
115,0.340876504
116,0.294654747
117,0.211072594
118,0.271520982
119,0.354242036
120,0.373905064
121,0.382597978
122,0.330080586
123,0.323785763
124,0.316048359
125,0.360565758
126,0.508497917
127,0.63959849
128,0.701402219
129,0.721200522
130,0.732246174
131,0.714111578
132,0.701125525
133,0.685685452
134,0.657220994
135,0.591236841
136,0.543043368
137,0.495422086
138,0.504156123
139,0.511144122
140,0.525326614
141,0.571664657
142,0.632395646
143,0.678927165
144,0.742628225
145,0.734899121
146,0.768955638
147,0.828981499
148,0.846871816
149,0.796035375
150,0.743594042
151,0.720614545
152,0.683936566
153,0.623136717
154,0.600731711
155,0.653056023
156,0.717742715
157,0.751106976
158,0.73500837
159,0.626000968
160,0.488176394
161,0.398155009
162,0.58771064
163,0.754660017
164,0.724994111
165,0.729393666
166,0.816460269
167,0.775443683
168,0.806686243
169,0.778689024
170,0.792861545
171,0.764997328
172,0.73140988
173,0.772827629
174,0.739326654
175,0.645020991
176,0.537029195
177,0.442441649
178,0.345861721
179,0.284301261
180,0.252701272
181,0.283188969
182,0.240784246
183,0.207922383
184,0.196424594
185,0.183579561
186,0.216461942
187,0.23243477
188,0.205331778
189,0.167470812
190,0.192687919
191,0.147675889
192,0.105948116
193,0.069532615
194,0.048011424
195,0.035098361
196,0.078808331
197,0.175355935
198,0.294039016
199,0.409592291
200,0.48829269
201,0.622824652
202,0.712682374
203,0.762303133
204,0.799972232
205,0.822489909
206,0.751459994
207,0.571006075
208,0.365366638
209,0.391678945
210,0.484356618
211,0.531613749
212,0.6525647
213,0.846600781
214,0.881506445
215,0.889967297
216,0.892666833
217,0.893050028
218,0.889235206
219,0.88737569
220,0.883889237
221,0.869077072
222,0.86488217
223,0.868571357
224,0.874739563
225,0.876634224
226,0.880101911
227,0.876857568
228,0.872567702
229,0.868340619
230,0.857216843
231,0.643500206
232,0.57873888
233,0.481774248
234,0.415205631
235,0.411155422
236,0.314043999
237,0.369803536
238,0.462841601
239,0.430755868
240,0.336823354
241,0.27777822
242,0.227155619
243,0.142166652
244,0.088409525
245,0.05975645
246,0.049102217
247,0.0426013
248,0.038681288
249,0.064118587
250,0.133817941
251,0.213379845
252,0.35944122
253,0.393106739
254,0.352531792
255,0.318152048
256,0.342076856
257,0.371850573
258,0.406452581
259,0.477621084
260,0.56096098
261,0.730523951
262,0.814551238
263,0.833226239
264,0.82361504
265,0.817086389
266,0.817019503
267,0.808717702
268,0.759763633
269,0.750426524
270,0.76003541
271,0.78722796
272,0.78331475
273,0.782163368
274,0.748932479
275,0.728321076
276,0.738199516
277,0.67469397
278,0.694446788
279,0.681551047
280,0.653568342
281,0.599351583
282,0.557452431
283,0.61504048
284,0.722066363
285,0.793529235
286,0.830128591
287,0.827803511
288,0.820483304
289,0.808273403
290,0.748864481
291,0.692092111
292,0.570454021
