,100000.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.000143357
14,0.026271778
15,0.084469658
16,0.131719429
17,0.215688571
18,0.250946212
19,0.319435388
20,0.382812058
21,0.180515991
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.00031578
38,0.040998968
39,0.116587677
40,0.110857653
41,0.125668369
42,0.117511126
43,0.084552241
44,0.048526985
45,0.024848747
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.000561981
62,0.172507502
63,0.107303096
64,0.120412483
65,0.167688042
66,0.150593515
67,0.102200436
68,0.101630045
69,0.029427172
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,3.66e-05
86,0.143032117
87,0.236862831
88,0.255449732
89,0.219215572
90,0.203249122
91,0.215824705
92,0.209046981
93,0.071534202
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,5.26e-05
110,0.027580262
111,0.101425804
112,0.144587778
113,0.192235304
114,0.186352795
115,0.153727539
116,0.114334677
117,0.089557805
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.000508019
134,0.113006138
135,0.082428819
136,0.093178041
137,0.119345991
138,0.118519152
139,0.074551494
140,0.047020296
141,0.024237701
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.000454842
158,0.038723695
159,0.107079602
160,0.148296814
161,0.229997255
162,0.276562015
163,0.24166499
164,0.254077073
165,0.173044817
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.000618773
182,0.242110998
183,0.351412726
184,0.379077913
185,0.360670332
186,0.34322827
187,0.389985093
188,0.355312669
189,0.103956471
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,6.24e-05
206,0.070576627
207,0.083885927
208,0.15708488
209,0.247700077
210,0.394668647
211,0.521488627
212,0.534824357
213,0.233704004
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.000608526
230,0.11076997
231,0.301254898
232,0.383792237
233,0.363720367
234,0.434897923
235,0.491041138
236,0.335007513
237,0.128702268
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,3.27e-05
254,0.025397281
255,0.081383099
256,0.162067794
257,0.191887183
258,0.105767003
259,0.1309468
260,0.079204819
261,0.024229168
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,8.02e-05
278,0.216485155
279,0.334543184
280,0.296836292
281,0.341438334
282,0.317611474
283,0.334565148
284,0.281248214
285,0.118990463
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,1.27e-05
302,0.06143235
303,0.151514137
304,0.164600994
305,0.196659138
306,0.224217771
307,0.212583505
308,0.095625975
309,0.038036119
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,7.99e-05
326,0.042728533
327,0.11480751
328,0.098293353
329,0.127001382
330,0.129232319
331,0.120624154
332,0.079223365
333,0.024182289
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.000956005
350,0.168012131
351,0.325160638
352,0.299927402
353,0.305303216
354,0.385721403
355,0.422309284
356,0.445768182
357,0.225525025
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,2.47e-05
374,0.022954392
375,0.062598219
376,0.092059702
377,0.169951157
378,0.251047865
379,0.433055881
380,0.442917395
381,0.248320492
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.000128629
398,0.031364178
399,0.091715761
400,0.137860065
401,0.203210085
402,0.213217443
403,0.185111206
404,0.142830517
405,0.062286396
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.01464785
422,0.299255991
423,0.404989756
424,0.439082131
425,0.451723734
426,0.463207611
427,0.558117705
428,0.594422579
429,0.27979991
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.010647672
446,0.213591034
447,0.336474761
448,0.399616021
449,0.372536955
450,0.361605776
451,0.310646851
452,0.346194254
453,0.148648306
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.02297402
470,0.216503829
471,0.374535451
472,0.400824819
473,0.393853444
474,0.369641763
475,0.359503685
476,0.232528894
477,0.146836048
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.001826705
494,0.091998349
495,0.242464979
496,0.345178588
497,0.368809278
498,0.332237054
499,0.291957916
500,0.235934149
501,0.099468034
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
