,B,A,C,D,E,F
Grid,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,152.25941441436947,152.25941441436947,152.25941441436947,152.25941441436947,152.25941441436947,152.25941441436947
Offshore_Wind,406.7534561890351,406.7534561890351,406.7534561890351,406.7534561890351,406.7534561890351,406.7534561890351
Onshore_Wind,159.7525269889751,159.7525269889751,159.7525269889751,159.7525269889751,159.7525269889751,159.7525269889751
Solar,59.06722887600833,59.06722887600833,59.06722887600833,59.06722887600833,59.06722887600833,59.06722887600833
PEM Electrolyzer,97.14483585207944,97.14483585207944,97.14483585207944,97.14483585207944,97.14483585207944,97.14483585207944
Geologic,4.183987454953225,4.183987454953225,4.183987454953225,4.183987454953225,4.183987454953225,4.183987454953225
Tank,97.00290352721832,97.00290352721832,97.00290352721832,97.00290352721832,97.00290352721832,97.00290352721832
