,A to B,A to C,A to D,A to E,A to F,B to C,B to D,B to E,B to F,C to D,C to E,C to F,D to E,D to F,E to F
2040-01-01 00:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,-275.1552855355135,-6826.063888797818,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-01 02:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,0.0,-7101.2191743333315,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-01 04:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,-164.74203553547068,-6936.477138797861,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-01 06:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,0.0,-7101.2191743333315,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-01 08:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,0.0,-7101.2191743333315,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-01 10:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,0.0,-7101.2191743333315,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-01 12:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,0.0,-7101.2191743333315,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-01 14:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,0.0,-7101.21917433331,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-01 16:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,0.0,-7101.2191743333315,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-01 18:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,-225.15528553551349,-6876.063888797818,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-01 20:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,-225.15528553551303,-6876.063888797818,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-01 22:00:00,-1814.3333319999983,1814.3333319999983,0.0,0.0,0.0,8333.333334,-225.15528553551303,-6876.06388879784,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 00:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,0.0,-7092.507765999995,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 02:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,0.0,-7092.507765999995,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 04:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,-224.96122220218012,-6867.546543797815,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 06:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,-224.96122220218012,-6867.546543797815,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 08:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,0.0,-7092.507765999973,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 10:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,0.0,-7092.507765999995,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 12:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,0.0,-7092.507765999995,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 14:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,0.0,-7092.507765999995,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 16:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,-274.9612222021801,-6817.546543797815,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 18:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,0.0,-7092.507766000017,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 20:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,0.0,-7092.507765999995,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-02 22:00:00,-1803.8333319999983,1803.8333319999983,0.0,0.0,0.0,8333.333334,-441.62790220217994,-6650.879863797815,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-03 00:00:00,-1793.4999986666662,1793.4999986666662,0.0,0.0,0.0,8333.333334,-441.0963947021796,-6640.828487964487,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-03 02:00:00,-1793.4999986666662,1793.4999986666662,0.0,0.0,0.0,8333.333334,0.0,-7081.924882666644,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-03 04:00:00,-1793.4999986666662,1793.4999986666662,0.0,0.0,0.0,8333.333334,-441.09639470217917,-6640.828487964487,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-03 06:00:00,-1793.4999986666662,1793.4999986666662,0.0,0.0,0.0,8333.333334,-1358.6964419636338,-5723.228440703055,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-03 08:00:00,-1793.4999986666662,1793.4999986666662,0.0,0.0,0.0,8333.333334,0.0,-7081.924882666644,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-03 10:00:00,-1793.4999986666662,1793.4999986666662,0.0,0.0,0.0,8333.333334,0.0,-7081.924882666666,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-03 12:00:00,-1793.4999986666662,1793.4999986666662,0.0,0.0,0.0,8333.333334,0.0,-7081.924882666666,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-03 14:00:00,-1793.4999986666662,1793.4999986666662,0.0,0.0,0.0,8333.333334,0.0,-7081.924882666666,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-03 16:00:00,-1793.4999986666662,1793.4999986666662,0.0,0.0,0.0,8333.333334,-12.50656864897337,-7069.418314017715,0.0,0.0,-8333.333334,0.0,0.0,0.0,0.0
2040-01-03 18:00:00,-1793.4999986666662,1793.4999986666662,0.0,0.0,0.0,8333.333334,0.0,-7081.924882666666,0.0,0.0,-8333.333334,0.0,0.0,0.0,972.9520342760516
